ObjectID,ObjRightsType,ObjectStatusID
915,Public Domain,1
916,Public Domain,1
917,Public Domain,1
918,Public Domain,1
919,Public Domain,1
920,Public Domain,1
921,Public Domain,1
922,Public Domain,1
923,Public Domain,1
924,Public Domain,1
925,Public Domain,1
926,Public Domain,1
927,Public Domain,1
928,Public Domain,1
929,Public Domain,1
930,Public Domain,1
931,Public Domain,1
932,Public Domain,1
933,Public Domain,1
934,Public Domain,1
935,Public Domain,1
936,Public Domain,1
937,Public Domain,1
938,Public Domain,1
939,Public Domain,1
940,Public Domain,1
941,Public Domain,1
942,Public Domain,1
943,Public Domain,1
944,Public Domain,1
945,Public Domain,1
946,Public Domain,1
947,Public Domain,1
948,Public Domain,1
949,Public Domain,1
950,Public Domain,1
951,Public Domain,1
952,Public Domain,1
953,Public Domain,1
954,Public Domain,1
955,Public Domain,1
956,Public Domain,1
957,Public Domain,1
958,Public Domain,1
959,Public Domain,1
960,Public Domain,1
961,Public Domain,1
962,Public Domain,1
963,Public Domain,1
964,Public Domain,1
965,Public Domain,1
966,Public Domain,1
967,Public Domain,1
968,Public Domain,1
969,Public Domain,1
970,Public Domain,1
971,Public Domain,1
972,Public Domain,1
973,Public Domain,1
975,Public Domain,1
976,Public Domain,1
977,Public Domain,1
978,Public Domain,1
979,Public Domain,1
980,Public Domain,1
981,Public Domain,1
982,Public Domain,1
983,Public Domain,1
984,Public Domain,1
985,Public Domain,1
986,Public Domain,1
987,Public Domain,1
988,Public Domain,1
989,Public Domain,1
990,Public Domain,1
991,Public Domain,1
992,Public Domain,1
993,Public Domain,1
994,Public Domain,1
995,Public Domain,1
996,Public Domain,1
997,Public Domain,1
998,Public Domain,1
999,Public Domain,1
1000,Public Domain,1
1001,Public Domain,1
1002,Public Domain,1
1003,Public Domain,1
1004,Public Domain,1
1005,Public Domain,1
1006,Public Domain,1
1007,Public Domain,1
1008,Public Domain,1
1009,Public Domain,1
1010,Public Domain,1
1011,Public Domain,1
1012,Public Domain,1
1013,Public Domain,1
1014,Public Domain,1
1015,Public Domain,1
1016,Public Domain,1
1017,Public Domain,1
1018,Public Domain,1
1019,Public Domain,1
1020,Public Domain,1
1021,Public Domain,1
1022,Public Domain,1
1023,Public Domain,1
1024,Public Domain,1
1025,Public Domain,1
1026,Public Domain,1
1027,Public Domain,1
1028,Public Domain,1
1029,Public Domain,1
1030,Public Domain,1
1031,Public Domain,1
1032,Public Domain,1
1033,Public Domain,1
1034,Public Domain,1
1035,Public Domain,1
1036,Public Domain,1
1037,Public Domain,1
1038,Public Domain,1
1039,Public Domain,1
1040,Public Domain,1
1041,Public Domain,1
1042,Public Domain,1
1043,Public Domain,1
1044,Public Domain,1
1045,Public Domain,1
1046,Public Domain,1
1047,Public Domain,1
1048,Public Domain,1
1049,Public Domain,1
1050,Public Domain,1
1051,Public Domain,1
1052,Public Domain,1
1053,Public Domain,1
1054,Public Domain,1
1055,Public Domain,1
1056,Public Domain,1
1057,Public Domain,1
1058,Public Domain,1
1059,Public Domain,1
1060,Public Domain,1
1061,Public Domain,1
1062,Public Domain,1
1063,Public Domain,1
1064,Public Domain,1
1065,Public Domain,1
1066,Public Domain,1
1067,Public Domain,1
1068,Public Domain,1
1069,Public Domain,1
1070,Public Domain,1
1071,Public Domain,1
1072,Public Domain,1
1073,Public Domain,1
1074,Public Domain,1
1075,Public Domain,1
1076,Public Domain,1
1077,Public Domain,1
1078,Public Domain,1
1079,Public Domain,1
1081,Public Domain,1
1082,Public Domain,1
1083,Public Domain,1
1084,Public Domain,1
1085,Public Domain,1
1086,Public Domain,1
1087,Public Domain,1
1088,Public Domain,1
1089,Public Domain,1
1090,Public Domain,1
1091,Public Domain,1
1092,Public Domain,1
1093,Public Domain,1
1094,Public Domain,1
1095,Public Domain,1
1096,Public Domain,1
1097,Public Domain,1
1098,Public Domain,1
1099,Public Domain,1
1100,Public Domain,1
1101,Public Domain,1
1102,Public Domain,1
1103,Public Domain,1
1104,Public Domain,1
1106,Public Domain,1
1107,Public Domain,1
1108,Public Domain,1
1109,Public Domain,1
1110,Public Domain,1
1111,Public Domain,1
1112,Public Domain,1
1113,Public Domain,1
1114,Public Domain,1
1115,Public Domain,1
1116,Public Domain,1
1117,Public Domain,1
1118,Public Domain,1
1119,Public Domain,1
1120,Public Domain,1
1121,Public Domain,1
1122,Public Domain,1
1123,Public Domain,1
1124,Public Domain,1
1125,Public Domain,1
1127,Public Domain,1
1128,Public Domain,1
1129,Public Domain,1
1130,Public Domain,1
1131,Public Domain,1
1133,Public Domain,1
1134,Public Domain,1
1135,Public Domain,1
1136,Public Domain,1
1137,Public Domain,1
1138,Public Domain,1
1139,Public Domain,1
1141,Public Domain,1
1142,Public Domain,1
1143,Public Domain,1
1144,Public Domain,1
1145,Public Domain,1
1146,Public Domain,1
1148,Public Domain,1
1149,Public Domain,1
1151,Public Domain,1
1152,Public Domain,1
1153,Public Domain,1
1154,Public Domain,1
1155,Public Domain,1
1156,Public Domain,1
1157,Public Domain,1
1158,Public Domain,1
1159,Public Domain,1
1160,Public Domain,1
1161,Public Domain,1
1162,Copyright Protected,1
1163,Public Domain,1
1165,Public Domain,1
1166,Public Domain,1
1167,Public Domain,1
1168,Public Domain,1
1169,Public Domain,1
1170,Public Domain,1
1171,Public Domain,1
1172,Public Domain,1
1173,Public Domain,1
1174,Public Domain,1
1175,Public Domain,1
1176,Public Domain,1
1177,Public Domain,1
1178,Public Domain,1
1179,Public Domain,1
1180,Public Domain,1
1181,Public Domain,1
1182,Public Domain,1
1183,Public Domain,1
1184,Copyright Protected,1
1186,Public Domain,1
1187,Public Domain,1
1188,Public Domain,1
1190,Public Domain,1
1191,Public Domain,1
1192,Public Domain,1
1193,Public Domain,1
1194,Public Domain,1
1195,Public Domain,1
1196,Public Domain,1
1197,Public Domain,1
1198,Public Domain,1
1199,Public Domain,1
1200,Public Domain,1
1201,Public Domain,1
1202,Public Domain,1
1203,Public Domain,1
1204,Public Domain,1
1205,Public Domain,1
1206,Public Domain,1
1207,Public Domain,1
1208,Public Domain,1
1209,Public Domain,1
1210,Public Domain,1
1211,Public Domain,1
1212,Public Domain,1
1213,Public Domain,1
1214,Public Domain,1
1215,Public Domain,1
1216,Public Domain,1
1217,Public Domain,1
1218,Public Domain,1
1219,Public Domain,1
1220,Public Domain,1
1221,Public Domain,1
1222,Public Domain,1
1223,Public Domain,1
1224,Public Domain,1
1225,Public Domain,1
1226,Public Domain,1
1227,Public Domain,1
1228,Online Use Only,1
1229,Copyright Protected,1
1230,Public Domain,1
1231,Need Permission,1
1232,Need Permission,1
1233,Public Domain,1
1234,Public Domain,1
1235,Public Domain,1
1236,Public Domain,1
1237,Public Domain,1
1238,Public Domain,1
1239,Public Domain,1
1240,Copyright Protected,1
1241,Public Domain,1
1242,Public Domain,1
1243,Public Domain,1
1244,Permission with Restrictions,1
1246,Public Domain,1
1247,Public Domain,1
1248,Public Domain,1
1249,Public Domain,1
1250,Public Domain,1
1251,Public Domain,1
1252,Public Domain,1
1253,Public Domain,1
1254,Public Domain,1
1255,Need Permission,1
1256,Public Domain,1
1257,Public Domain,1
1258,Public Domain,1
1259,Copyright Protected,1
1260,Public Domain,1
1261,Public Domain,1
1262,Public Domain,1
1263,Public Domain,1
1264,Public Domain,1
1265,Public Domain,1
1266,Public Domain,1
1267,Public Domain,1
1268,Copyright Protected,1
1269,Online Use Only,1
1270,Permission with Restrictions,1
